species,group,length,AR,wload,back,belly,ftype,sim,billcol,legcol,arrives,leaves,eggs,incub,ccare,diver,long-billed,webbed-feet,long-legs,wading-bird,plunge-dives,BMI,WSI,family, forest-edges, harbours,archipelago,coastal-meadows,fells,fields,forest-edges,forests,islets,lakes,marshland,meadows,nutrient-rich-lakes,pastures,ponds,reedbeds,sea-bays,sea-coast,shores,shrub-tundra,streams,wetlands,algae,berries,birds,carrion,chicks,clams,eggs,fish,frogs,garbage,grain,grass,hares,insects,invertebrates,larvae,lizards,molluscs,plants,rodents,seeds,shellfish,small-rodents,snails,snakes,squirrels,vertebrae,worms
naurulokki,laridae,avg length,large AR,small wload,light grey back,white belly,B,similar-looking genders,red billcol,red legcol,early migration arrival,early migration leaving,few eggs,both incub,both ccare,,,webbed-feet,,,plunge-dives,skinny,long-winged,lari,,,,,,,,,,lives in lakes,,,,,,,lives in sea-bays,,,,,,,,,,,,,eats fish,,eats garbage,,,,,eats invertebrates,,,,,,,,,,,,,
harmaalokki,laridae,long,large AR,avg wload,bluish grey back,white belly,B,similar-looking genders,yellow billcol,reddish legcol,early migration arrival,late migration leaving,few eggs,both incub,both ccare,,,webbed-feet,,,plunge-dives,average BMI,long-winged,lari,,,,,,,,,,lives in lakes,lives in marshland,,,,,,,lives in sea-coast,,,,,,,,,eats chicks,,,eats fish,,eats garbage,eats grain,,,,,,,,,,,,,,,,,
isolokki,laridae,long,large AR,avg wload,bluish grey back,white belly,B,similar-looking genders,yellow billcol,reddish legcol,early migration arrival,early migration leaving,few eggs,both incub,both ccare,,,webbed-feet,,,plunge-dives,robust,long-winged,lari,,lives in  harbours,,,,,,,,,,,,,,,,lives in sea-coast,,,,,,,,eats carrion,eats chicks,,eats eggs,eats fish,,eats garbage,,,,,,,,,,,,,,,,,,
kalatiira,sternidae,avg length,large AR,small wload,grey back,white belly,B,similar-looking genders,red billcol,red legcol,average migration arrival,average migration leaving,few eggs,both incub,both ccare,,,webbed-feet,,,plunge-dives,skinny,average-winged,lari,,,lives in archipelago,,,,,,,lives in lakes,,,,,,,,,,,,,,,,,,,,eats fish,,,,,,,,,,,,,,,,,,,,
lapintiira,sternidae,avg length,large AR,small wload,grey back,white belly,B,similar-looking genders,red billcol,red legcol,average migration arrival,early migration leaving,few eggs,both incub,both ccare,,,webbed-feet,,,plunge-dives,skinny,long-winged,lari,,,lives in archipelago,,,,,,,lives in lakes,lives in marshland,,,,,,,,,,,,,,,,,,,eats fish,,,,,,,,,,,,,,,,,,,,
suokukko,scolopacidae,short,avg AR,small wload,dappled brown back,white belly,C,different-looking genders,dark-brown billcol,orange legcol,average migration arrival,early migration leaving,avg egg layage,F incub,F ccare,,,,long-legs,wading-bird,,skinny,average-winged,charadrii,,,,,,,,,,,lives in marshland,,,,,,,,,,,lives in wetlands,,,,,,,,,,,,,,,eats invertebrates,,,,,,eats seeds,,,,,,,
taivaanvuohi,scolopacidae,short,small AR,avg wload,dappled brown back,white belly,C,similar-looking genders,reddish-brown billcol,greenish-grey legcol,average migration arrival,average migration leaving,avg egg layage,F incub,F ccare,,long-billed,,,wading-bird,,skinny,short-winged,charadrii,,,,lives in coastal-meadows,,,,,,,lives in marshland,,,,,,,,,,,,,,,,,,,,,,,,,,eats invertebrates,,,,,,,,,,,,,
lehtokurppa,scolopacidae,avg length,small AR,avg wload,dappled brown back,dappled beige belly,C,similar-looking genders,brown billcol,yellowish-grey legcol,early migration arrival,late migration leaving,avg egg layage,F incub,F ccare,,long-billed,,,wading-bird,,average BMI,average-winged,charadrii,,,,,,,,lives in forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eats invertebrates,eats larvae,,,,,,,,eats snails,,,,eats worms
metsäviklo,scolopacidae,short,avg AR,small wload,brown back,white belly,C,similar-looking genders,black billcol,greenish-grey legcol,early migration arrival,early migration leaving,avg egg layage,both incub,M ccare,,long-billed,,long-legs,wading-bird,,skinny,average-winged,charadrii,,,,,,,,lives in forests,,,,,,,lives in ponds,,,,,,,,,,,,,,,,,,,,,,eats invertebrates,,,,eats plants,,,,,,,,,
liro,scolopacidae,short,large AR,small wload,dappled brown back,white belly,C,similar-looking genders,black billcol,greenish-yellow legcol,average migration arrival,early migration leaving,avg egg layage,both incub,M ccare,,long-billed,,long-legs,wading-bird,,skinny,average-winged,charadrii,,,,,,,,,,,lives in marshland,,,,,,,,,,,lives in wetlands,,,,,,,,,,,,,,,eats invertebrates,,,,,,,,,,,,,
karikukko,scolopacidae,short,large AR,avg wload,black-brown back,white belly,C,similar-looking genders,black billcol,orange legcol,average migration arrival,early migration leaving,avg egg layage,both incub,M ccare,,,,,wading-bird,,average BMI,long-winged,charadrii,,,lives in archipelago,,,,,,lives in islets,,,,,,,,,,,,,,,,,,,,eats eggs,,,,,,,,eats invertebrates,,,,,,,,,,,,,
suosirri,scolopacidae,short,avg AR,small wload,dappled brown back,black-white belly,C,similar-looking genders,black billcol,black legcol,average migration arrival,average migration leaving,avg egg layage,both incub,both ccare,,long-billed,,,wading-bird,,skinny,average-winged,charadrii,,,,lives in coastal-meadows,,,,,,,,,,,,,,,,,,lives in wetlands,,,,,,,,,,,,,,,eats invertebrates,,,,,,,,,,,,,
pikkusirri,scolopacidae,short,avg AR,small wload,dappled brown back,white belly,C,similar-looking genders,black billcol,black legcol,late migration arrival,average migration leaving,avg egg layage,both incub,both ccare,,,,,wading-bird,,skinny,average-winged,charadrii,,,,,,,,,,,,,,,,,,,lives in shores,lives in shrub-tundra,,lives in wetlands,,,,,,,,,,,,,,,eats invertebrates,,,,,,,,,,,,,
pikkutylli,charadriidae,short,avg AR,small wload,greyish brown back,white belly,C,similar-looking genders,black billcol,brownish legcol,average migration arrival,early migration leaving,avg egg layage,both incub,both ccare,,,,,wading-bird,,skinny,long-winged,charadrii,,,,,,,,,,,,,,,,,,,lives in shores,,,,,,,,,,,,,,,,,eats insects,,,,,,,,,,eats snails,,,,
tylli,charadriidae,short,large AR,small wload,greyish brown back,white belly,C,similar-looking genders,orange billcol,orange legcol,early migration arrival,average migration leaving,avg egg layage,both incub,both ccare,,,,,wading-bird,,skinny,long-winged,charadrii,,,,,,,,,,,,,,,,,,,lives in shores,,,,,,,,,,,,,,,,,,eats invertebrates,,,,,,,,,eats snails,,,,
keräkurmitsa,charadriidae,short,large AR,avg wload,dappled brown back,black belly,C,similar-looking genders,black billcol,yellow legcol,late migration arrival,average migration leaving,few eggs,M incub,M ccare,,,,,wading-bird,,average BMI,long-winged,charadrii,,,,,lives in fells,,,,,,,,,,,,,,,,,,,eats berries,,,,,,,,,,,,eats insects,,,,,,,,,,,,,,eats worms
töyhtöhyyppä,charadriidae,short,small AR,small wload,black back,white belly,C,similar-looking genders,black billcol,brownish-red legcol,early migration arrival,average migration leaving,avg egg layage,both incub,both ccare,,,,,wading-bird,,skinny,long-winged,charadrii,,,,,,lives in fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eats insects,,,,,,,,,,,,,,eats worms
haapana,dabbling ducks,avg length,large AR,large wload,dappled brown back,white belly,C,different-looking genders,grey billcol,grey legcol,average migration arrival,average migration leaving,many eggs,F incub,F ccare,,,webbed-feet,,,,robust,short-winged,anatinae,,,,,,,,,,lives in lakes,lives in marshland,,,,,,,,lives in shores,,,,,,,,,,,,,,,,,,,,,,eats plants,,,,,,,,,
tavi,dabbling ducks,avg length,avg AR,avg wload,dappled brown back,beige belly,C,different-looking genders,grey billcol,greenish-grey legcol,average migration arrival,average migration leaving,many eggs,F incub,F ccare,,,webbed-feet,,,,average BMI,short-winged,anatinae,,,,,,,,,,lives in lakes,,,,,lives in ponds,,,,,,lives in streams,,,,,,,,,,,,,,,,eats invertebrates,,,,eats plants,,,,,,,,,
sinisorsa,dabbling ducks,long,avg AR,large wload,dappled brown back,beige belly,C,different-looking genders,orange billcol,orange legcol,early migration arrival,late migration leaving,many eggs,F incub,F ccare,,,webbed-feet,,,,robust,short-winged,anatinae,,,,,,,,,,lives in lakes,,,,,,,,,lives in shores,,,,,,,,,,,,,,,,,,eats invertebrates,,,,eats plants,,,,,,,,,
heinätavi,dabbling ducks,avg length,small AR,avg wload,dappled brown back,beige belly,C,different-looking genders,grey billcol,grey legcol,average migration arrival,average migration leaving,many eggs,F incub,F ccare,,,webbed-feet,,,,average BMI,short-winged,anatinae,,,,,,,,,,lives in lakes,,,,,,,,,lives in shores,,,,,,,,,,,,,,,,,,eats invertebrates,,,,eats plants,,,,,,,,,
lapasorsa,dabbling ducks,avg length,large AR,large wload,dappled brown back,dark brown belly,C,different-looking genders,greenish-brown billcol,orange-red legcol,average migration arrival,average migration leaving,many eggs,F incub,F ccare,,,webbed-feet,,,,average BMI,short-winged,anatinae,,,,,,,,,,,,,,,,,,,lives in shores,,,,,,,,,,,,,,,,,,eats invertebrates,,,,eats plants,,,,,,,,,
tukkasotka,diving ducks,avg length,avg AR,large wload,dark brown back,dark brown belly,C,different-looking genders,light-grey billcol,bluish-grey legcol,early migration arrival,late migration leaving,many eggs,F incub,F ccare,diver,,webbed-feet,,,,robust,short-winged,anatinae,,,lives in archipelago,,,,,,,lives in lakes,,,,,,,,,,,,,,,,,,,,,,,,,,eats insects,,,,eats molluscs,eats plants,,,,,,,,,
punasotka,diving ducks,avg length,large AR,large wload,beige back,beige belly,C,different-looking genders,dark-grey billcol,bluish-grey legcol,average migration arrival,average migration leaving,many eggs,F incub,F ccare,diver,,webbed-feet,,,,robust,short-winged,anatinae,,,,,,,,,,,,,lives in nutrient-rich-lakes,,,,lives in sea-bays,,,,,,,,,,,,,eats fish,,,,,,eats insects,,,,eats molluscs,eats plants,,,,,,,,,
merihanhi,anserinae,long,avg AR,large wload,dappled brown back,light grey belly,C,similar-looking genders,orange billcol,pink legcol,average migration arrival,average migration leaving,many eggs,F incub,both ccare,,,webbed-feet,,,,robust,average-winged,anserinae,,,lives in archipelago,,,,,,,,,,,,,,,,,,,,eats algae,,,,,,,,,,eats grain,eats grass,,,,,,,,,,,,,,,,
kyhmyjoutsen,anserinae,long,large AR,large wload,white back,white belly,C,similar-looking genders,red billcol,dark-grey legcol,early migration arrival,late migration leaving,many eggs,F incub,both ccare,,,webbed-feet,,,,robust,short-winged,anserinae,,,lives in archipelago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eats invertebrates,,,,eats plants,,,,,,,,,
kurki,gruifores,long,avg AR,large wload,grey back,grey belly,C,similar-looking genders,reddish billcol,black legcol,average migration arrival,average migration leaving,few eggs,both incub,both ccare,,long-billed,,long-legs,wading-bird,,robust,average-winged,gruidae,,,,,,,,,,,lives in marshland,,,,,,,,,,,,,,,,,,,,eats frogs,,eats grain,,,eats insects,,,,,eats plants,,,,eats small-rodents,,,,,
luhtakana,rallidae,short,small AR,avg wload,dappled brown back,grey belly,C,similar-looking genders,red billcol,reddish-brown legcol,early migration arrival,average migration leaving,many eggs,both incub,both ccare,,long-billed,,long-legs,wading-bird,,skinny,short-winged,rallidae,,,,,,,,,,,,,lives in nutrient-rich-lakes,,,lives in reedbeds,lives in sea-bays,,,,,,,,,,,,,,,,,,,,,,,,eats plants,,,,,,,,eats vertebrae,
ruisrääkkä,rallidae,short,small AR,avg wload,dappled brown back,beige belly,C,similar-looking genders,beige billcol,reddish-brown legcol,late migration arrival,average migration leaving,many eggs,F incub,F ccare,,,,long-legs,wading-bird,,skinny,average-winged,rallidae,,,,,,lives in fields,,,,,,lives in meadows,,,,,,,,,,,,,,,,,,,,,,,,,eats invertebrates,,,,eats plants,,eats seeds,,,,,,,
liejukana,rallidae,short,small AR,avg wload,brownish black back,dark grey belly,C,similar-looking genders,red billcol,greenish legcol,average migration arrival,late migration leaving,many eggs,both incub,both ccare,,,,long-legs,wading-bird,,average BMI,short-winged,rallidae,,,,,,,,,,lives in lakes,,,,,,lives in reedbeds,lives in sea-bays,,,,,,,,,,,,,,,,,,,,eats invertebrates,,,,eats plants,,,,,,,,,
nokikana,rallidae,avg length,small AR,large wload,greyish black back,greyish black belly,C,similar-looking genders,white billcol,greenish legcol,early migration arrival,average migration leaving,many eggs,both incub,both ccare,,,webbed-feet,,wading-bird,,robust,long-winged,rallidae,,,,,,,,,,,,,lives in nutrient-rich-lakes,,,lives in reedbeds,lives in sea-bays,,,,,,,,,,,,,,,,,,,eats insects,,,,,,,,,,,,,,
luhtahuitti,rallidae,short,small AR,small wload,dappled brown back,dappled brown belly,C,similar-looking genders,yellow billcol,greenish legcol,average migration arrival,average migration leaving,many eggs,both incub,both ccare,,,,,wading-bird,,average BMI,average-winged,rallidae,,,,,,,,,,,,lives in meadows,lives in nutrient-rich-lakes,,,lives in reedbeds,,,,,,,eats algae,,,,,,,,,,,,,,eats invertebrates,,,,,,eats seeds,,,,,,,
merimetso,phalacrocoracidae,long,avg AR,large wload,black back,black belly,C,similar-looking genders,grey billcol,black legcol,average migration arrival,average migration leaving,few eggs,both incub,both ccare,diver,long-billed,webbed-feet,,,,robust,short-winged,phalacrocoracidae,,,,,,,,,lives in islets,,,,,,,,,,,,,,,,,,,,,eats fish,,,,,,,,,,,,,,eats shellfish,,,,,,
silkkiuikku,podicipedidae,long,large AR,large wload,blackish grey back,white belly,C,similar-looking genders,reddish billcol,yellowish-grey legcol,average migration arrival,average migration leaving,avg egg layage,both incub,both ccare,diver,long-billed,webbed-feet,,,,robust,short-winged,podicipedidae,,,,,,,,,,lives in lakes,,,,,,,lives in sea-bays,,,,,,,,,,,,,eats fish,,,,,,,,,,,,,,,,,,,,
härkälintu,podicipedidae,avg length,avg AR,large wload,blackish grey back,reddish brown belly,C,similar-looking genders,dark billcol,black legcol,average migration arrival,late migration leaving,avg egg layage,both incub,both ccare,diver,long-billed,webbed-feet,,,,robust,average-winged,podicipedidae,,,,,,,,,,lives in lakes,,,,,,,,,,,,,,,,,,eats clams,,eats fish,,,,,,,,,,,,,,eats shellfish,,,,,,
mustakurkku-uikku,podicipedidae,short,large AR,large wload,black back,reddish brown belly,C,similar-looking genders,black billcol,greenish-black legcol,average migration arrival,early migration leaving,avg egg layage,both incub,both ccare,diver,,webbed-feet,,,,robust,short-winged,podicipedidae,,,,,,,,,,lives in lakes,,,,,lives in ponds,,,,,,,,,,,,,,,,,,,,,eats insects,,,,,,,,eats shellfish,,,,,,
pikku-uikku,podicipedidae,short,avg AR,large wload,black back,beige belly,C,similar-looking genders,black billcol,greenish legcol,average migration arrival,late migration leaving,avg egg layage,both incub,both ccare,diver,,webbed-feet,,,,average BMI,short-winged,podicipedidae,,,,,,,,,,lives in lakes,,,,,lives in ponds,,,,,,,,,,,,,eats clams,,eats fish,,,,,,eats insects,,,,,,,,eats shellfish,,,,,,
kaakkuri,gaviidae,long,large AR,large wload,greyish brown back,white belly,C,similar-looking genders,black billcol,black legcol,average migration arrival,late migration leaving,few eggs,both incub,both ccare,diver,,webbed-feet,,,,robust,short-winged,gaviidae,,,,,,,,,,lives in lakes,,,,,lives in ponds,,,,,,,,,,,,,,,eats fish,,,,,,,,,,,,,,,,,,,,
kuikka,gaviidae,long,large AR,large wload,black-white back,white belly,C,similar-looking genders,black billcol,black legcol,average migration arrival,average migration leaving,few eggs,both incub,both ccare,diver,,webbed-feet,,,,robust,average-winged,gaviidae,,,,,,,,,,lives in lakes,,,,,,,lives in sea-bays,,,,,,,,,,,,,eats fish,,,,,,,,,,,,,,,,,,,,
kaulushaikara,ardeidae,long,small AR,avg wload,dappled brown back,dappled brown belly,B,similar-looking genders,greenish-yellow billcol,greenish-yellow legcol,average migration arrival,average migration leaving,many eggs,F incub,F ccare,,long-billed,,,wading-bird,,average BMI,short-winged,ardeidae,,,,,,,,,,,,,lives in nutrient-rich-lakes,,,lives in reedbeds,lives in sea-bays,,,,,,,,,,eats chicks,,,eats fish,eats frogs,,,,,,,,,,,,,,eats small-rodents,,,,,
harmaahaikara,ardeidae,long,small AR,avg wload,light grey back,greyish white belly,B,similar-looking genders,yellow billcol,brown legcol,average migration arrival,late migration leaving,avg egg layage,both incub,both ccare,,long-billed,,long-legs,wading-bird,,skinny,average-winged,ardeidae,,,,,,,,,lives in islets,,,,lives in nutrient-rich-lakes,,,,lives in sea-bays,,,,,,,,,,eats chicks,,,eats fish,eats frogs,,,,,,,,,,,,,,eats small-rodents,,eats snakes,,,
kattohaikara,ardeidae,long,avg AR,large wload,black-white back,white belly,A,similar-looking genders,red billcol,red legcol,average migration arrival,average migration leaving,avg egg layage,both incub,both ccare,,long-billed,,long-legs,wading-bird,,average BMI,average-winged,ardeidae,,,,,,,,,,,,lives in meadows,,lives in pastures,,,,,,,,lives in wetlands,,,,,,,,,eats frogs,,,,,eats insects,,,,,,,,,eats small-rodents,,eats snakes,,,eats worms
kanahaukka,accipitridae,long,small AR,avg wload,grey back,black-white belly,A,similar-looking genders,black billcol,yellow legcol,early migration arrival,late migration leaving,few eggs,F incub,both ccare,,,,,,,robust,average-winged,accipitridae,,,,,,,,lives in forests,,,,,,,,,,,,,,,,,eats birds,,,,,,,,,,eats hares,,,,,,,,,,eats small-rodents,,,eats squirrels,,
varpushaukka,accipitridae,avg length,small AR,small wload,greyish brown back,black-white belly,A,similar-looking genders,bluish-grey billcol,greenish-yellow legcol,average migration arrival,average migration leaving,avg egg layage,F incub,both ccare,,,,,,,skinny,long-winged,accipitridae,,,,,,,,lives in forests,,,,,,,,,,,,,,,,,eats birds,,,,,,,,,,,,,,,,,,,,eats small-rodents,,,,,
hiirihaukka,accipitridae,avg length,small AR,avg wload,dark brown back,brown-white belly,A,similar-looking genders,yellow-black billcol,yellow legcol,early migration arrival,average migration leaving,few eggs,both incub,both ccare,,,,,,,average BMI,long-winged,accipitridae,,,,,,,lives in forest-edges,,,,,,,,,,,,,,,,,,,,eats chicks,,,,eats frogs,,,,,,,,,,,eats rodents,,,,,eats snakes,,,
mehiläishaukka,accipitridae,long,small AR,small wload,greyish brown back,brown-white belly,A,similar-looking genders,black billcol,yellow legcol,average migration arrival,average migration leaving,few eggs,both incub,both ccare,,,,,,,average BMI,long-winged,accipitridae,lives in  forest-edges,,,,,,,lives in forests,,,,,,,,,,,,,,,,,,,eats chicks,,eats eggs,,eats frogs,,,,,eats insects,,,,,,,,,eats small-rodents,,,,,
ruskosuohaukka,accipitridae,avg length,avg AR,small wload,dark brown back,brown belly,A,different-looking genders,black billcol,yellow legcol,average migration arrival,average migration leaving,avg egg layage,F incub,both ccare,,,,,,,average BMI,long-winged,accipitridae,,,,,,,,,,,,,,,,lives in reedbeds,,,,,,,,,,,eats chicks,,,,eats frogs,,,,,eats insects,,,,,,,,,eats small-rodents,,,,,
sinisuohaukka,accipitridae,avg length,small AR,small wload,brown back,brown-white belly,A,different-looking genders,yellow-black billcol,yellow legcol,average migration arrival,average migration leaving,avg egg layage,F incub,both ccare,,,,,,,skinny,long-winged,accipitridae,,,,,,,,,,,lives in marshland,,,,,,,,lives in shores,,,lives in wetlands,,,eats birds,,,,,,eats frogs,,,,,eats insects,,,,,,,,,eats small-rodents,,,,,
haarahaukka,accipitridae,long,avg AR,small wload,dark brown back,dark brown belly,A,similar-looking genders,black billcol,reddish-yellow legcol,average migration arrival,average migration leaving,few eggs,both incub,both ccare,,,,,,,average BMI,long-winged,accipitridae,,,,,,,lives in forest-edges,,,,,lives in meadows,,,,,,,lives in shores,,,,,,,eats carrion,,,,eats fish,eats frogs,,,,,,,,eats lizards,,,,,,eats small-rodents,,,,,
merikotka,accipitridae,long,small AR,avg wload,brown back,brown belly,A,similar-looking genders,yellow billcol,yellow legcol,early migration arrival,late migration leaving,few eggs,both incub,both ccare,,,,,,plunge-dives,robust,long-winged,accipitridae,,,,,,,,,,lives in lakes,,,,,,,,lives in sea-coast,,,,,,,eats birds,eats carrion,,,,eats fish,,,,,,,,,,,,,,,,,,,,
